County,Individuals Tested,Individuals Positive,Total Recovered,Total Deaths
Polk,14822,2845,952,78
Woodbury,7703,2157,871,16
Black Hawk,6636,1571,852,29
Linn,6266,892,654,70
Johnson,5378,567,268,7
Scott,4160,301,254,8
Dubuque,3535,258,102,10
Dallas,3427,773,360,10
Marshall,2867,778,385,5
Muscatine,2520,524,311,32
Pottawattamie,1947,150,65,2
Jasper,1475,242,175,12
Story,1474,75,52,1
Cerro Gordo,1383,17,12,
Tama,1209,354,191,16
Wapello,1181,360,11,2
Warren,1126,66,39,
Washington,1029,170,129,8
Clinton,1025,60,42,1
Webster,1016,13,6,1
Louisa,916,306,188,3
Boone,888,41,18,
Crawford,846,348,146,1
Wright,688,8,3,
Sioux,667,131,36,
Allamakee,651,116,80,4
Plymouth,593,82,38,
Benton,584,36,24,1
Cedar,572,42,36,1
Marion,550,20,13,
Des Moines,537,37,22,1
Bremer,530,64,50,5
Floyd,528,11,2,1
Winneshiek,525,18,17,
Hamilton,517,11,7,
Fayette,508,25,15,
Buena Vista,507,82,13,
Henry,480,44,35,1
Buchanan,474,26,20,
Jones,473,36,21,
Iowa,452,28,23,
Pending Investigation,428,15,1,
Poweshiek,423,85,57,8
Page,418,10,8,
Franklin,405,7,2,
Clayton,397,28,21,3
Lee,396,18,15,
Delaware,383,12,10,
Mahaska,378,23,15,1
Hardin,373,12,6,
Carroll,367,8,2,
Jackson,357,8,4,
Grundy,313,17,12,
Guthrie,304,37,15,2
O'Brien,300,22,9,
Madison,293,16,9,1
Butler,293,13,12,
Harrison,290,17,17,
Mills,275,10,5,
Mitchell,270,4,3,
Kossuth,256,2,2,
Chickasaw,256,7,4,
Clay,246,10,8,
Hancock,243,3,2,
Howard,243,12,10,
Cherokee,237,9,3,
Greene,236,13,9,
Jefferson,235,12,7,
Union,233,2,1,
Dickinson,227,6,6,
Keokuk,224,10,7,
Winnebago,220,6,4,
Clarke,216,14,3,
Sac,209,4,2,
Cass,209,1,1,
Appanoose,209,7,2,3
Monona,208,15,11,
Lyon,200,16,15,
Worth,194,3,1,
Humboldt,192,7,6,
Montgomery,191,6,4,
Calhoun,184,1,,
Shelby,183,20,16,
Emmet,171,1,,
Osceola,145,26,13,
Decatur,143,,,
Monroe,141,19,3,1
Ida,132,3,1,
Taylor,122,1,1,
Audubon,119,11,6,1
Lucas,119,,,
Palo Alto,111,2,1,
Van Buren,110,8,8,
Pocahontas,107,3,2,
Adair,103,4,2,
Davis,93,13,3,
Fremont,92,3,1,
Ringgold,83,,,
Wayne,71,1,1,
Adams,59,,,
